Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2021-03-07;35,00;3,00;10,00;7,00;9,00;8,00;4,00;6,00;4,00;11,00;8,00;2,00;7,00;1,00;7,00;4,00;6,00;1,00;5,00;2,00;7,00;6,00;1,00;12,00;1,00;0,50;2,00;1,00
2021-03-14;34,00;4,00;6,00;6,00;7,00;8,00;2,00;4,00;3,00;12,00;4,00;3,00;6,00;1,00;3,00;4,00;6,00;3,00;3,00;3,00;7,00;4,00;2,00;10,00;3,00;1,00;0,50;1,00
2021-03-21;22,00;2,00;6,00;4,00;8,00;5,00;2,00;3,00;2,00;7,00;4,00;2,00;3,00;0,50;6,00;2,00;4,00;2,00;3,00;1,00;1,00;1,00;2,00;7,00;1,00;0,50;2,00;1,00
2021-03-28;19,00;2,00;5,00;2,00;3,00;3,00;1,00;2,00;0,50;6,00;2,00;3,00;1,00;2,00;2,00;3,00;4,00;2,00;1,00;3,00;0,50;2,00;1,00;5,00;1,00;0,50;0,00;0,00
2021-04-04;12,00;1,00;2,00;3,00;2,00;3,00;2,00;1,00;1,00;4,00;4,00;0,50;2,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;4,00;3,00;3,00;7,00;1,00;0,00;0,50;0,50
2021-04-11;17,00;1,00;2,00;3,00;3,00;1,00;2,00;1,00;0,50;4,00;4,00;1,00;3,00;1,00;2,00;1,00;2,00;2,00;2,00;2,00;4,00;1,00;1,00;4,00;1,00;0,00;0,00;0,50
2021-04-18;19,00;1,00;3,00;5,00;2,00;3,00;2,00;0,50;0,50;3,00;3,00;2,00;2,00;0,50;0,00;1,00;4,00;1,00;2,00;1,00;1,00;2,00;1,00;6,00;1,00;1,00;0,00;0,50
2021-04-25;19,00;1,00;4,00;5,00;6,00;3,00;1,00;1,00;1,00;5,00;3,00;2,00;1,00;1,00;1,00;2,00;3,00;1,00;1,00;1,00;4,00;0,50;0,50;9,00;1,00;0,00;0,00;1,00
2021-05-02;24,00;3,00;6,00;5,00;6,00;3,00;1,00;1,00;0,00;2,00;3,00;2,00;3,00;1,00;2,00;3,00;4,00;2,00;1,00;3,00;3,00;1,00;1,00;7,00;2,00;0,50;0,00;0,50
2021-05-09;30,00;2,00;3,00;7,00;5,00;3,00;1,00;1,00;0,00;5,00;7,00;0,50;3,00;2,00;4,00;3,00;3,00;3,00;1,00;1,00;4,00;0,50;2,00;3,00;3,00;1,00;0,50;0,50
2021-05-16;30,00;3,00;7,00;7,00;7,00;2,00;1,00;2,00;2,00;13,00;3,00;1,00;1,00;1,00;3,00;2,00;4,00;1,00;1,00;1,00;3,00;1,00;1,00;5,00;3,00;0,00;1,00;0,50
2021-05-23;33,00;2,00;5,00;5,00;4,00;4,00;1,00;3,00;1,00;10,00;2,00;3,00;3,00;2,00;2,00;4,00;4,00;2,00;2,00;0,50;3,00;2,00;2,00;8,00;3,00;1,00;0,50;0,50
2021-05-30;30,00;2,00;5,00;6,00;6,00;4,00;2,00;1,00;1,00;8,00;4,00;2,00;3,00;2,00;1,00;1,00;5,00;2,00;3,00;2,00;3,00;1,00;2,00;5,00;1,00;0,00;2,00;0,00
2021-06-06;30,00;2,00;4,00;7,00;7,00;4,00;2,00;4,00;0,50;5,00;5,00;2,00;7,00;1,00;2,00;1,00;7,00;1,00;3,00;2,00;3,00;3,00;4,00;10,00;3,00;0,50;3,00;1,00
2021-06-13;42,00;2,00;6,00;7,00;5,00;3,00;4,00;2,00;1,00;6,00;3,00;1,00;2,00;2,00;2,00;6,00;5,00;2,00;3,00;2,00;3,00;2,00;2,00;5,00;3,00;1,00;1,00;0,00
2021-06-20;33,00;0,50;6,00;6,00;10,00;8,00;2,00;2,00;1,00;9,00;4,00;3,00;6,00;3,00;3,00;3,00;7,00;2,00;1,00;1,00;3,00;2,00;3,00;11,00;2,00;1,00;1,00;0,00
2021-06-27;33,00;3,00;6,00;9,00;11,00;6,00;3,00;3,00;2,00;6,00;4,00;3,00;11,00;1,00;2,00;4,00;6,00;3,00;2,00;1,00;3,00;4,00;3,00;9,00;2,00;0,00;2,00;1,00
2021-07-04;50,00;2,00;9,00;12,00;23,00;6,00;6,00;3,00;5,00;14,00;15,00;5,00;13,00;2,00;4,00;6,00;8,00;4,00;4,00;2,00;5,00;4,00;2,00;8,00;7,00;0,50;1,00;2,00
2021-07-11;56,00;4,00;9,00;12,00;17,00;10,00;4,00;5,00;3,00;15,00;13,00;3,00;11,00;2,00;4,00;6,00;11,00;4,00;4,00;2,00;7,00;6,00;3,00;20,00;8,00;1,00;4,00;0,50
2021-07-18;60,00;5,00;12,00;13,00;20,00;12,00;7,00;6,00;2,00;19,00;11,00;3,00;10,00;4,00;2,00;8,00;10,00;2,00;3,00;3,00;6,00;5,00;1,00;12,00;5,00;2,00;0,50;0,50
2021-07-25;70,00;5,00;15,00;12,00;17,00;11,00;7,00;4,00;2,00;11,00;12,00;8,00;11,00;6,00;6,00;6,00;10,00;4,00;5,00;3,00;6,00;4,00;3,00;18,00;6,00;1,00;1,00;3,00
