Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;94,00;61,16;21,52;68,00;0,00;14,00;33,00;23,00;15,00;17,00;22,00;24,00;24,00;1,00;5,00;18,00;4,00;8,00;4,00;10,00;9,00;5,00;4,00;4,00;1,00;4,00;3,00;1,00;1,00;0,50;1,00;0,00;0,50
2019-01-13;97,00;56,40;19,17;68,00;0,50;10,00;30,00;20,00;15,00;18,00;23,00;23,00;26,00;2,00;5,00;15,00;3,00;7,00;3,00;7,00;7,00;6,00;3,00;5,00;1,00;5,00;2,00;0,50;1,00;1,00;1,00;0,50;0,50
2019-01-20;81,00;49,06;22,82;68,00;1,00;12,00;31,00;21,00;17,00;21,00;23,00;24,00;18,00;2,00;5,00;18,00;3,00;7,00;3,00;8,00;10,00;3,00;5,00;5,00;1,00;5,00;2,00;2,00;1,00;0,00;2,00;0,00;0,50
2019-01-27;93,00;57,84;23,82;63,00;1,00;14,00;30,00;21,00;15,00;19,00;24,00;24,00;23,00;1,00;4,00;17,00;1,00;6,00;3,00;6,00;9,00;6,00;5,00;3,00;1,00;2,00;3,00;1,00;2,00;1,00;1,00;0,50;1,00
2019-02-03;85,00;53,27;20,40;53,00;1,00;17,00;42,00;19,00;16,00;20,00;22,00;21,00;20,00;3,00;5,00;18,00;2,00;7,00;3,00;5,00;9,00;3,00;5,00;0,50;0,50;4,00;2,00;0,50;2,00;0,50;0,00;0,00;1,00
2019-02-10;79,00;57,56;20,31;60,00;0,50;15,00;24,00;18,00;16,00;17,00;23,00;22,00;20,00;1,00;5,00;13,00;3,00;7,00;3,00;6,00;10,00;3,00;5,00;1,00;1,00;4,00;3,00;2,00;2,00;0,50;1,00;0,00;0,00
2019-02-17;67,00;59,05;18,17;53,00;0,50;16,00;27,00;18,00;23,00;22,00;21,00;28,00;20,00;1,00;5,00;13,00;3,00;6,00;2,00;6,00;8,00;2,00;7,00;2,00;1,00;3,00;3,00;2,00;3,00;1,00;2,00;1,00;0,50
2019-02-24;84,00;56,00;17,92;57,00;0,50;16,00;32,00;22,00;12,00;24,00;20,00;26,00;24,00;2,00;5,00;15,00;2,00;6,00;3,00;7,00;9,00;2,00;6,00;4,00;1,00;3,00;4,00;2,00;1,00;1,00;2,00;0,00;0,00
2019-03-03;77,00;53,22;15,85;60,00;1,00;20,00;33,00;22,00;10,00;15,00;18,00;24,00;22,00;1,00;5,00;18,00;2,00;7,00;3,00;7,00;7,00;3,00;3,00;2,00;1,00;3,00;4,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-03-10;75,00;59,09;20,45;52,00;0,50;13,00;41,00;15,00;12,00;18,00;18,00;25,00;21,00;3,00;5,00;14,00;2,00;8,00;2,00;5,00;11,00;6,00;6,00;1,00;1,00;5,00;3,00;0,50;3,00;1,00;1,00;0,50;1,00
2019-03-17;69,00;50,90;15,84;54,00;0,00;15,00;25,00;24,00;20,00;22,00;24,00;25,00;25,00;3,00;4,00;17,00;2,00;9,00;4,00;7,00;7,00;2,00;4,00;2,00;0,00;4,00;3,00;1,00;1,00;1,00;0,50;0,00;0,00
2019-03-24;77,00;56,62;18,12;50,00;1,00;19,00;29,00;24,00;18,00;19,00;24,00;19,00;25,00;3,00;8,00;21,00;4,00;9,00;3,00;13,00;8,00;4,00;4,00;3,00;0,00;4,00;3,00;1,00;2,00;1,00;1,00;0,00;1,00
2019-03-31;69,00;53,16;16,97;65,00;0,50;19,00;34,00;25,00;17,00;24,00;22,00;24,00;28,00;3,00;8,00;20,00;3,00;6,00;3,00;5,00;10,00;4,00;7,00;3,00;1,00;4,00;2,00;2,00;3,00;0,50;1,00;0,00;1,00
2019-04-07;92,00;50,49;14,59;63,00;1,00;19,00;32,00;21,00;15,00;20,00;19,00;26,00;23,00;1,00;7,00;15,00;2,00;8,00;3,00;6,00;10,00;5,00;8,00;3,00;2,00;6,00;4,00;1,00;1,00;2,00;1,00;0,50;0,50
2019-04-14;78,00;113,04;15,83;67,00;1,00;26,00;32,00;16,00;16,00;25,00;20,00;22,00;20,00;2,00;4,00;21,00;3,00;5,00;5,00;7,00;8,00;5,00;10,00;2,00;2,00;5,00;3,00;1,00;6,00;1,00;1,00;0,50;0,50
2019-04-21;74,00;48,95;10,25;57,00;0,00;15,00;28,00;13,00;17,00;20,00;18,00;21,00;17,00;2,00;4,00;18,00;2,00;7,00;3,00;6,00;7,00;1,00;5,00;5,00;3,00;5,00;3,00;2,00;3,00;0,50;1,00;0,00;1,00
2019-04-28;64,00;52,57;10,29;53,00;1,00;17,00;28,00;14,00;14,00;16,00;24,00;21,00;17,00;2,00;5,00;13,00;2,00;5,00;3,00;7,00;8,00;4,00;3,00;3,00;3,00;3,00;3,00;2,00;2,00;0,00;1,00;0,00;0,00
2019-05-05;63,00;55,13;13,50;56,00;0,50;17,00;24,00;19,00;14,00;23,00;17,00;18,00;22,00;2,00;6,00;15,00;4,00;11,00;6,00;11,00;5,00;4,00;4,00;3,00;2,00;5,00;3,00;1,00;2,00;0,50;1,00;0,00;1,00
2019-05-12;62,00;47,35;10,15;62,00;0,00;13,00;26,00;17,00;15,00;20,00;21,00;21,00;17,00;1,00;7,00;13,00;4,00;5,00;3,00;8,00;7,00;5,00;5,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-05-19;63,00;52,88;14,63;63,00;1,00;15,00;26,00;16,00;18,00;18,00;23,00;25,00;21,00;1,00;6,00;16,00;3,00;7,00;4,00;9,00;8,00;4,00;3,00;3,00;1,00;5,00;5,00;1,00;2,00;1,00;2,00;0,50;0,50
2019-05-26;61,00;49,70;13,56;48,00;0,50;13,00;28,00;17,00;14,00;17,00;27,00;21,00;19,00;4,00;8,00;15,00;3,00;7,00;2,00;5,00;6,00;4,00;4,00;5,00;1,00;2,00;3,00;2,00;3,00;1,00;1,00;0,00;0,50
2019-06-02;71,00;48,46;15,78;56,00;0,50;15,00;25,00;18,00;15,00;20,00;23,00;31,00;16,00;4,00;8,00;18,00;2,00;4,00;5,00;7,00;8,00;4,00;6,00;4,00;1,00;5,00;3,00;3,00;2,00;1,00;2,00;0,00;0,50
2019-06-09;69,00;48,64;16,97;54,00;1,00;21,00;29,00;22,00;15,00;24,00;20,00;27,00;22,00;4,00;3,00;18,00;3,00;9,00;3,00;7,00;7,00;5,00;5,00;3,00;1,00;7,00;4,00;4,00;2,00;1,00;1,00;0,00;1,00
2019-06-16;71,00;62,98;11,45;50,00;1,00;18,00;29,00;19,00;16,00;22,00;26,00;22,00;24,00;5,00;8,00;20,00;4,00;7,00;7,00;8,00;8,00;4,00;5,00;3,00;3,00;2,00;3,00;2,00;2,00;1,00;2,00;0,00;0,00
2019-06-23;69,00;50,90;16,97;45,00;0,50;15,00;25,00;20,00;15,00;19,00;17,00;22,00;26,00;1,00;4,00;16,00;3,00;11,00;5,00;9,00;10,00;6,00;5,00;4,00;2,00;6,00;2,00;0,50;2,00;1,00;3,00;0,50;0,50
2019-06-30;70,00;57,58;20,32;45,00;1,00;19,00;30,00;17,00;14,00;19,00;22,00;25,00;26,00;6,00;9,00;23,00;3,00;9,00;6,00;7,00;9,00;5,00;8,00;3,00;2,00;5,00;5,00;2,00;0,50;1,00;2,00;0,00;0,50
2019-07-07;77,00;52,09;19,25;66,00;1,00;21,00;40,00;23,00;15,00;20,00;25,00;30,00;27,00;2,00;7,00;20,00;5,00;9,00;6,00;7,00;12,00;5,00;5,00;3,00;2,00;5,00;4,00;2,00;3,00;1,00;1,00;1,00;0,50
2019-07-14;80,00;63,10;14,65;51,00;0,00;23,00;33,00;25,00;15,00;21,00;25,00;23,00;23,00;3,00;10,00;26,00;3,00;7,00;6,00;6,00;11,00;4,00;8,00;6,00;2,00;5,00;7,00;4,00;3,00;1,00;2,00;1,00;1,00
2019-07-21;80,00;57,46;19,15;54,00;2,00;24,00;42,00;22,00;14,00;24,00;25,00;25,00;29,00;3,00;8,00;22,00;4,00;8,00;4,00;10,00;14,00;5,00;6,00;8,00;1,00;7,00;4,00;3,00;2,00;1,00;1,00;0,00;0,00
2019-07-28;79,00;69,97;19,19;58,00;1,00;27,00;35,00;25,00;16,00;23,00;30,00;27,00;29,00;3,00;8,00;21,00;4,00;11,00;8,00;11,00;15,00;6,00;7,00;6,00;2,00;6,00;5,00;2,00;4,00;0,50;3,00;1,00;0,00
2019-08-04;89,00;66,18;20,54;67,00;1,00;32,00;39,00;23,00;13,00;23,00;36,00;31,00;25,00;2,00;4,00;25,00;4,00;10,00;8,00;9,00;13,00;5,00;7,00;5,00;2,00;3,00;5,00;4,00;4,00;1,00;4,00;0,00;1,00
2019-08-11;87,00;71,18;18,08;70,00;1,00;23,00;40,00;23,00;18,00;25,00;27,00;27,00;28,00;5,00;11,00;22,00;3,00;9,00;5,00;9,00;14,00;5,00;11,00;3,00;2,00;6,00;8,00;4,00;4,00;3,00;1,00;0,50;0,00
2019-08-18;76,00;69,19;21,55;58,00;1,00;28,00;39,00;22,00;20,00;24,00;31,00;22,00;22,00;4,00;9,00;25,00;2,00;7,00;6,00;10,00;12,00;7,00;10,00;3,00;3,00;4,00;6,00;2,00;3,00;2,00;1,00;0,50;0,50
2019-08-25;70,00;64,35;14,68;60,00;2,00;25,00;36,00;24,00;13,00;22,00;27,00;28,00;27,00;3,00;6,00;20,00;3,00;7,00;7,00;10,00;11,00;2,00;7,00;4,00;2,00;3,00;5,00;2,00;3,00;1,00;1,00;0,00;0,00
2019-09-01;67,00;54,51;20,44;59,00;1,00;20,00;29,00;21,00;19,00;32,00;26,00;30,00;22,00;3,00;6,00;23,00;3,00;8,00;5,00;11,00;9,00;4,00;5,00;3,00;2,00;6,00;2,00;2,00;5,00;1,00;1,00;0,00;0,00
